No;Lexique (FR);Définition (FR);Exemple  (FR)
1;ACD;Analyse critique du langage et du pouvoir (Fairclough, 1995).;Le Monde, 19/03/2023: “Les manifestants dénoncent une réforme injuste qui accentue les inégalités sociales.” → Analyse : Discours de contestation du pouvoir étatique.
2;Activation / passivation;Acteur actif ou passif (van Leeuwen, 2008).;France24, 15/04/2023: “Les manifestants ont été dispersés.” → Analyse : Passivation.
3;Agenda médiatique;Priorités des médias (McCombs, 2004).;Les Echos, 10/10/2023: “L’inflation domine l’actualité.” → Analyse : Priorisation.
4;Agent social;L’agent social est l’acteur du discours. Sa représentation reflète le pouvoir (van Leeuwen, 2008).;Le Monde, 19/03/2023: “Les forces de l’ordre ont dispersé les manifestants rassemblés dans le centre de Paris.” → Analyse : Agent explicite, responsabilité claire attribuée à l’État.
5;Agentivité;Degré de présence de l’agent (van Leeuwen, 2008).;France24, 15/04/2023: “Il y a eu dispersion des manifestants.” → Analyse : Agent absent.
6;Altérisation;Construction de l’opposition “nous/eux” (van Dijk, 1998).;Le Figaro, 10/02/2023: “Ils ne comprennent pas les citoyens ordinaires.” → Analyse : Construction d’altérité.
7;Ambiguïté;Plusieurs interprétations possibles d’un énoncé (Leech, 1981).;France24, 19/03/2023: “Protests against the reform turned violent in several cities across France.” → Analyse : Agent non précisé, responsabilité diffuse.
8;Ambiguïté pragmatique;Ambiguïté liée au contexte (Leech, 1981).;France24, 06/04/2023: “La réforme sera appliquée bientôt.” → Analyse : Temporalité floue.
9;Amorçage (priming);Influence par répétition (Iyengar & Kinder, 1987).;France24, 06/04/2023: “La stabilité est constamment évoquée.” → Analyse : Influence cognitive.
10;Analyse critique intégrée;Analyse globale du discours (Fairclough, 1995).;Libération, 05/03/2024: “La réforme est analysée sous plusieurs angles.” → Analyse : Approche intégrée.
11;Analyse du discours;Étude du langage en contexte social (Brown & Yule, 1983).;Le Monde, 10/09/2023: “La réforme du système éducatif vise à améliorer les compétences des élèves et leur insertion professionnelle.” → Analyse : Discours construit autour de la modernisation éducative.
12;Analyse multiniveau;Analyse à plusieurs niveaux (Fairclough, 1995).;Le Monde, 12/06/2023: “Le discours est étudié dans son contexte global.” → Analyse : Approche globale.
13;Analyse tridimensionnelle;Analyse texte–discours–société (Fairclough, 1995).;Le Monde, 12/06/2023: “La réforme est diffusée par les médias.” → Analyse : Trois niveaux articulés.
14;Argumentation;Organisation des raisons pour soutenir une thèse (Toulmin, 1958).;France24, 06/04/2023: “La réforme est nécessaire car elle garantit l’équilibre financier.” → Analyse : Structure argumentative.
15;Articulation idéologique;Liaison idéologie–discours (Laclau & Mouffe, 1985).;Le Monde, 12/06/2023: “Le développement est lié au bien-être.” → Analyse : Articulation.
16;Atténuation;Réduction de la force d’un énoncé (Brown & Levinson, 1987).;Le Monde, 12/06/2023: “La réforme n’est pas totalement efficace.” → Analyse : Atténuation critique.
17;Atténuation (hedging);Réduction de la certitude (Hyland, 1998).;Le Monde, 12/06/2023: “La réforme pourrait être bénéfique.” → Analyse : Prudence.
18;Atténuation stratégique;Minimisation d’un fait (van Dijk, 1998).;Le Monde, 12/06/2023: “L’impact reste limité pour la population.” → Analyse : Minimisation.
19;Attribution;Attribution à une source (Fairclough, 1995).;Le Monde, 19/03/2023: “Les experts affirment que la réforme est efficace.” → Analyse : Autorité externe.
20;Autorité;Légitimité du pouvoir dans le discours (van Dijk, 1998).;Le Monde, 19/03/2023: “Le gouvernement affirme la validité de sa réforme.” → Analyse : Renforcement de l’autorité.
21;Autorité discursive;Pouvoir de définir le sens (Foucault, 1972).;Le Monde, 19/03/2023: “Le gouvernement domine le discours.” → Analyse : Autorité dominante.
22;Biais discursif;Orientation idéologique du discours (van Dijk, 1998).;France24, 15/04/2023: “Violence erupted during protests, leading to clashes with police forces.” → Analyse : Focalisation sur la violence plutôt que les revendications.
23;Biais idéologique;Orientation idéologique du discours (van Dijk, 1998).;Le Monde, 12/06/2023: “La réforme est présentée comme favorable aux citoyens.” → Analyse : Biais positif.
24;Biais médiatique;Orientation non neutre (van Dijk, 1998).;Libération, 05/03/2024: “Les élites sont davantage citées.” → Analyse : Déséquilibre.
25;Cadrage;Présentation orientée (Entman, 1993).;Le Monde, 25/03/2023: “Les manifestations représentent une crise sociale majeure.” → Analyse : Cadre conflictuel.
26;Cadrage médiatique;Sélection d’aspects (Entman, 1993).;France24, 15/04/2023: “Les violences dominent la couverture.” → Analyse : Mise en avant sélective.
