No;Istilah (ID);Definisi (ID );Contoh   (ID)
1;Agen Sosial;Agen sosial adalah individu atau kelompok yang direpresentasikan sebagai pelaku dalam wacana. Representasi ini dapat eksplisit atau dihapus untuk mencerminkan relasi kekuasaan (van Leeuwen, 2008).;Kompas, 13/04/2023: “Polisi menembakkan gas air mata untuk membubarkan massa yang memadati kawasan tersebut.” → Analisis: Agen polisi dinyatakan eksplisit sehingga tanggung jawab tindakan dilekatkan jelas pada institusi negara.
2;Ambiguitas;Ambiguitas adalah kondisi ketika ujaran memiliki lebih dari satu makna. Ketaksaan ini dapat berasal dari struktur atau leksikon (Leech, 1981).;"Kompas, 13/04/2023: “Aksi demonstrasi menolak UU Cipta Kerja berakhir ricuh di sejumlah titik ibu kota.” → Analisis: Tidak disebut siapa pelaku kericuhan; struktur kalimat menciptakan ambiguitas dan mengaburkan tanggung jawab."
3;Analisis Wacana;Analisis wacana mengkaji bahasa dalam konteks sosial. Pendekatan ini menghubungkan bentuk bahasa dengan fungsi komunikatif (Brown & Yule, 1983).;Kompas Edu, 27/02/2023: “Kurikulum Merdeka dirancang untuk meningkatkan kompetensi siswa melalui pendekatan pembelajaran yang lebih fleksibel.” → Analisis: Bahasa membangun wacana reformasi pendidikan sebagai solusi modern yang progresif.
4;CDA;CDA mengkaji hubungan bahasa, kekuasaan, dan ideologi. Pendekatan ini menyoroti reproduksi ketimpangan sosial (Fairclough, 1995).;CNN Indonesia, 12/01/2024: “Para kandidat menyoroti ketimpangan ekonomi sebagai isu utama dalam debat capres.” → Analisis: Wacana politik membingkai realitas sosial sebagai arena kontestasi kekuasaan.
5;Asumsi;Asumsi adalah informasi implisit yang dianggap benar dalam wacana. Ia membentuk kerangka pemahaman pembaca (Yule, 1996).;Kompas Edu, 27/02/2023: “Kurikulum Merdeka diharapkan mampu meningkatkan kualitas pendidikan nasional.” → Analisis: Terdapat asumsi implisit bahwa kualitas sebelumnya belum memadai.
6;Bias Wacana;Bias wacana adalah kecenderungan representasi yang tidak netral. Bias muncul melalui seleksi fakta dan bahasa (van Dijk, 1998).;Kompas, 13/04/2023: “Kericuhan mewarnai aksi demonstrasi yang berujung pada pembubaran oleh aparat keamanan.” → Analisis: Fokus pada “kericuhan” menonjolkan aspek negatif, bukan tuntutan demonstran.
7;Citra;Citra adalah representasi sosial yang dibangun melalui wacana. Citra terbentuk melalui repetisi dan label (Hall, 1997).;CNN Indonesia, 12/01/2024: “Kandidat tersebut dikenal sebagai sosok yang pro-rakyat dan tegas dalam mengambil keputusan.” → Analisis: Label “pro-rakyat” membangun citra positif kandidat.
8;Kohesi;Kohesi adalah hubungan formal antar unsur teks. Ia menjaga keterkaitan struktur teks (Halliday & Hasan, 1976).;Kompas Edu, 27/02/2023: “Program ini diharapkan meningkatkan kualitas pendidikan. Hal tersebut juga didukung oleh kebijakan baru pemerintah.” → Analisis: Penggunaan “ini” dan “tersebut” menciptakan kohesi referensial.
9;Koherensi;Koherensi adalah keterpaduan makna dalam teks. Ia bergantung pada relasi semantik (van Dijk, 1980).;CNN Indonesia, 18/07/2023: “Pertumbuhan ekonomi meningkat, namun daya beli masyarakat masih rendah sehingga diperlukan kebijakan tambahan.” → Analisis: Hubungan sebab–akibat membangun koherensi logis.
10;Diskursus;Diskursus adalah sistem pernyataan yang membentuk cara berpikir. Ia berkaitan dengan kekuasaan dan pengetahuan (Foucault, 1972).;Kompas Edu, 27/02/2023: “Pendidikan menjadi kunci utama dalam menciptakan sumber daya manusia unggul.” → Analisis: Membentuk diskursus pembangunan berbasis SDM.
11;Dominasi;Dominasi adalah kontrol sosial melalui wacana. Ia bekerja melalui legitimasi (van Dijk, 1998).;CNN Indonesia, 12/01/2024: “Para elite politik mendominasi jalannya debat sementara isu masyarakat hanya sedikit dibahas.” → Analisis: Ketimpangan distribusi suara menunjukkan dominasi elite.
12;Eksklusi;Eksklusi adalah penghilangan aktor dalam wacana. Hal ini mengaburkan tanggung jawab (van Leeuwen, 2008).;Detik, 22/03/2023: “Terjadi bentrokan antara massa dan aparat yang menyebabkan kerusakan fasilitas umum.” → Analisis: Pelaku utama tidak dijelaskan secara spesifik.
13;Evaluasi;Evaluasi adalah ekspresi penilaian dalam wacana. Penilaian bisa eksplisit atau implisit (Hunston & Thompson, 2000).;Kompas, 13/04/2023: “Aksi tersebut berubah menjadi kerusuhan yang meresahkan masyarakat.” → Analisis: Kata “kerusuhan” menunjukkan evaluasi negatif.
14;Framing;Framing adalah cara penyajian isu untuk memengaruhi interpretasi. Ia menentukan fokus perhatian (Entman, 1993).;Kompas, 13/04/2023: “Aparat membubarkan aksi untuk menjaga ketertiban dan keamanan.” → Analisis: Peristiwa dibingkai sebagai isu keamanan.
